Episode title,Completion rate (%),Publish date,Episode URI
Trailer: What is The Melting Pod?,0,2/23/2026,spotify:episode:6Px4nR8PVDyK3XQAovvSVJ
Welcome to The Melting Pod,50,2/23/2026,spotify:episode:7ulKn8vAnz66u2H59ojW1O
"Biden and the Border (Part 1), with Charanya Krishnaswami",53,2/23/2026,spotify:episode:25UHBkE8qqFX6J9rAnapKk
"The Heartbreak of Immigration Reform, with Esther Olavarria",44,3/2/2026,spotify:episode:4Z02PAQwKc0j9Xi6ywaPMj
"DACA and the Dreamer Movement, with Felicia Escobar Carrillo",56.00000000000001,3/9/2026,spotify:episode:4C2LTXeP1jfCez8NqAjIhu
Who’s Afraid of the H-1B?,35,3/17/2026,spotify:episode:1hjwD7uZrlqEVOQjuJzwts
"The Truth About ICE, with Jason Houser",45,5/26/2026,spotify:episode:0Z6OrGNWMHtoO8IYF8dygi
"News Digest: Green Card Chaos, Hunger Strikes, and Stern Dad Energy",39,6/3/2026,spotify:episode:7H4wz85uVoComLYO4tfkrF
"The Reality-Based Economics of Immigration, with Jenny Hunt",46,6/19/2026,spotify:episode:3WuQQ50zJ0Kt6lq8NnJTEH
"A Winning Message on Immigration, with Beatriz Lopez",42,6/30/2026,spotify:episode:5rKWLDNahHoIRLMISp4vQj
"Three Big Lies About Immigrants and Fraud, with Sonya Schwartz",38,7/22/2026,spotify:episode:4ypoRSgXhDCBEOIDJkkdrk
"Confessions of an Immigration Bureaucrat, with Michael Valverde",56.00000000000001,8/13/2026,spotify:episode:6vod4lw4zyVqL1ZY4Nk36d
"Asylum Is Not a Loophole, with Colleen Zengotitabengoa",28.999999999999996,9/4/2026,spotify:episode:5zCSFfvf1OdDAtXY0Ku1HM
"News Dive: The Great De-Legalization, H-1B Follies, and Midterm Predictions",33,9/10/2026,spotify:episode:1vApBxeinCQgaBSWYVini5
